rank,name,nation,startnr,total,tech,pcs,deductions,competition,element,call,base_value,goe,Judge No.1,Judge No.2,Judge No.3,Judge No.4,Judge No.5,Judge No.6,Judge No.7,Judge No.8,final_element_score
10,Kevin AYMOZ,FRA,30,80.39,39.13,42.26,-1.0,ec2022SEG001OF,4Sq+COMBO+2T*,*,9.7,-4.85,-5.0,-5.0,-5.0,-5.0,-3.0,-5.0,-5.0,-5.0,4.85
10,Kevin AYMOZ,FRA,30,80.39,39.13,42.26,-1.0,ec2022SEG001OF,CCSp4,None,3.2,1.1,3.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,4.3
10,Kevin AYMOZ,FRA,30,80.39,39.13,42.26,-1.0,ec2022SEG001OF,3A,x,8.8,2.51,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,11.31
10,Kevin AYMOZ,FRA,30,80.39,39.13,42.26,-1.0,ec2022SEG001OF,FSSp4,None,3.0,0.9,2.0,3.0,3.0,5.0,2.0,3.0,3.0,4.0,3.9
10,Kevin AYMOZ,FRA,30,80.39,39.13,42.26,-1.0,ec2022SEG001OF,CCoSp4,None,3.5,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.5
10,Kevin AYMOZ,FRA,30,80.39,39.13,42.26,-1.0,ec2022SEG001OF,StSq4,None,3.9,1.62,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.52
11,Paul FENTZ,GER,17,76.76,41.22,36.54,-1.0,ec2022SEG001OF,4T,None,9.5,-4.75,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,4.75
11,Paul FENTZ,GER,17,76.76,41.22,36.54,-1.0,ec2022SEG001OF,3A,None,8.0,2.4,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,10.4
11,Paul FENTZ,GER,17,76.76,41.22,36.54,-1.0,ec2022SEG001OF,CSSp3,None,2.6,0.3,2.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.9
11,Paul FENTZ,GER,17,76.76,41.22,36.54,-1.0,ec2022SEG001OF,3Lz+3T,x,11.11,1.01,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,12.12
11,Paul FENTZ,GER,17,76.76,41.22,36.54,-1.0,ec2022SEG001OF,FCSp4,None,3.2,0.14,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.34
11,Paul FENTZ,GER,17,76.76,41.22,36.54,-1.0,ec2022SEG001OF,CCoSp4,None,3.5,0.3,2.0,-1.0,-1.0,2.0,1.0,1.0,0.0,1.0,3.8
11,Paul FENTZ,GER,17,76.76,41.22,36.54,-1.0,ec2022SEG001OF,StSq3,None,3.3,0.61,2.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,3.91
12,Nikolaj MEMOLA,ITA,22,73.98,39.19,34.79,0.0,ec2022SEG001OF,3Aq,q,8.0,-1.49,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,6.51
12,Nikolaj MEMOLA,ITA,22,73.98,39.19,34.79,0.0,ec2022SEG001OF,3F,None,5.3,0.98,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,6.28
12,Nikolaj MEMOLA,ITA,22,73.98,39.19,34.79,0.0,ec2022SEG001OF,CCSp4,None,3.2,0.14,0.0,1.0,0.0,-1.0,1.0,2.0,0.0,1.0,3.34
12,Nikolaj MEMOLA,ITA,22,73.98,39.19,34.79,0.0,ec2022SEG001OF,3Lz+3T,x,11.11,0.84,2.0,0.0,2.0,-1.0,1.0,2.0,1.0,2.0,11.95
12,Nikolaj MEMOLA,ITA,22,73.98,39.19,34.79,0.0,ec2022SEG001OF,FSSp4,None,3.0,0.34,0.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,3.34
12,Nikolaj MEMOLA,ITA,22,73.98,39.19,34.79,0.0,ec2022SEG001OF,StSq3,None,3.3,0.42,1.0,1.0,2.0,0.0,2.0,3.0,1.0,2.0,3.72
12,Nikolaj MEMOLA,ITA,22,73.98,39.19,34.79,0.0,ec2022SEG001OF,CCoSp4,None,3.5,0.55,1.0,1.0,2.0,0.0,2.0,3.0,1.0,2.0,4.05
13,Lukas BRITSCHGI,SUI,26,72.96,36.36,36.6,0.0,ec2022SEG001OF,4T+3T,None,13.7,-1.76,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,11.94
13,Lukas BRITSCHGI,SUI,26,72.96,36.36,36.6,0.0,ec2022SEG001OF,3A,None,8.0,-2.97,-3.0,-4.0,-4.0,-5.0,-4.0,-3.0,-4.0,-2.0,5.03
13,Lukas BRITSCHGI,SUI,26,72.96,36.36,36.6,0.0,ec2022SEG001OF,CSSp4,None,3.0,0.69,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.69
13,Lukas BRITSCHGI,SUI,26,72.96,36.36,36.6,0.0,ec2022SEG001OF,3Lz,x,6.49,-2.28,-4.0,-4.0,-4.0,-5.0,-3.0,-4.0,-4.0,-3.0,4.21
13,Lukas BRITSCHGI,SUI,26,72.96,36.36,36.6,0.0,ec2022SEG001OF,StSq4,None,3.9,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,4.9
13,Lukas BRITSCHGI,SUI,26,72.96,36.36,36.6,0.0,ec2022SEG001OF,FCSp4,None,3.2,0.5,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.7
13,Lukas BRITSCHGI,SUI,26,72.96,36.36,36.6,0.0,ec2022SEG001OF,CCoSp2,None,2.5,0.39,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2.89
14,Nikita STAROSTIN,GER,11,72.12,37.73,34.39,0.0,ec2022SEG001OF,3A,None,8.0,1.03,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,9.03
